period,ward_id,permanent_water_m2,total_area_m2,permanent_water_fraction,mean_water_frequency
2014-2016,"93
",0.0,2970213.066408382,0.0,0.003991302554530433
2014-2016,"61
",0.0,1177262.6061369653,0.0,0.0
2014-2016,"86
",0.0,1826143.9323658661,0.0,0.0
2014-2016,"90
",0.0,2372495.446999153,0.0,0.02467515409808905
2014-2016,"26
",0.0,660670.3145760287,0.0,0.0
2014-2016,"72
",0.0,747892.0507554923,0.0,0.0
2014-2016,"134
",0.0,1064510.272751114,0.0,0.008332440305807326
2014-2016,"99
",0.0,1276923.549868249,0.0,0.0
2014-2016,"125
",0.0,5206733.257524491,0.0,0.0
2014-2016,"118
",0.0,1507237.777862459,0.0,0.0
2014-2016,"83
",0.0,544975.1993471055,0.0,0.0
2014-2016,"43
",0.0,582723.9726249235,0.0,0.0
2014-2016,"47
",0.0,773309.6461268982,0.0,0.0
2014-2016,"115
",0.0,3395547.13546647,0.0,0.00011097554628969038
2014-2016,"68
",0.0,1191634.4964831404,0.0,0.0
2014-2016,"39
",0.0,330622.3120473235,0.0,0.0
2014-2016,"12
",0.0,886127.5907304909,0.0,0.0
2014-2016,"108
",1663481.3306975388,26850767.100481912,0.06195284196061881,0.1127265795301938
2014-2016,"110
",0.0,3852012.5536226295,0.0,0.0025639726259210176
2014-2016,"141
",0.0,5738748.559977362,0.0,0.06966381094659008
2014-2016,"17
",0.0,546329.0230268026,0.0,0.0
2014-2016,"7
",0.0,722060.2145367783,0.0,0.055293144016636986
2014-2016,"16
",0.0,507371.5233247629,0.0,0.0
2014-2016,"137
",0.0,1275140.5489388257,0.0,0.07392505677984158
2014-2016,"84
",0.0,581735.4201153931,0.0,0.0
2014-2016,"18
",0.0,388889.50443115307,0.0,0.0
2014-2016,"25
",0.0,766524.7304502625,0.0,0.0
2014-2016,"60
",0.0,1199864.2799723898,0.0,0.0
2014-2016,"10
",0.0,864802.9517351376,0.0,0.0
2014-2016,"62
",0.0,772547.3091512957,0.0,0.0
2014-2016,"71
",0.0,1576690.2639610732,0.0,0.00025193316053816547
2014-2016,"91
",0.0,1760558.2517068158,0.0,0.0
2014-2016,"75
",0.0,976918.2504185946,0.0,0.041193515276931665
2014-2016,"96
",0.0,2123288.491729435,0.0,0.0
2014-2016,"88
",0.0,623810.4446886824,0.0,0.0
2014-2016,"44
",0.0,1029272.53786032,0.0,0.0
2014-2016,"85
",0.0,1024990.2626369076,0.0,0.0
2014-2016,"89
",0.0,1078895.0488777338,0.0,0.0
2014-2016,"67
",0.0,2581285.2379194563,0.0,0.0
2014-2016,"76
",0.0,734189.0496325076,0.0,0.0
2014-2016,"74
",0.0,6150740.456462756,0.0,0.000596864344380336
2014-2016,"87
",0.0,897562.4782398291,0.0,0.0021136498750592074
2014-2016,"132
",0.0,3158846.6761043207,0.0,0.0
2014-2016,"69
",0.0,2615193.5644534407,0.0,0.0
2014-2016,"22
",0.0,500848.3886642463,0.0,0.031030024399088675
2014-2016,"119
",0.0,1075576.5634958926,0.0,0.0
2014-2016,"54
",0.0,677237.6929420002,0.0,0.0
2014-2016,"122
",0.0,5043878.428990967,0.0,0.00022679905248535154
2014-2016,"29
",0.0,970016.295134335,0.0,0.0
2014-2016,"109
",0.0,11889753.652940217,0.0,0.012354081974905338
2014-2016,"32
",0.0,3435326.8545502163,0.0,0.0004775727551236705
2014-2016,"57
",0.0,10778381.758030416,0.0,0.04685868040094252
2014-2016,"136
",0.0,922382.63201114,0.0,0.0
2014-2016,"106
",0.0,2573165.2082764846,0.0,0.0
2014-2016,"4
",0.0,1399371.782177019,0.0,0.0
2014-2016,"52
",0.0,345096.8747700404,0.0,0.0
2014-2016,"38
",0.0,812731.509212655,0.0,0.0
2014-2016,"81
",0.0,3926124.9701334806,0.0,0.0
2014-2016,"127
",0.0,7924406.46523071,0.0,0.0
2014-2016,"53
",0.0,555450.2848963087,0.0,0.0
2014-2016,"34
",0.0,1203946.7388253536,0.0,0.0
2014-2016,"135
",0.0,731375.1134151398,0.0,0.0032928310256681156
2014-2016,"117
",0.0,1107011.1045015645,0.0,0.004432548788722252
2014-2016,"105
",0.0,1008700.6210014188,0.0,0.0
2014-2016,"20
",0.0,569919.4144101621,0.0,0.012320898912334684
2014-2016,"102
",0.0,2546552.798951482,0.0,0.0
2014-2016,"46
",0.0,2486671.17801846,0.0,0.00010817648229487693
2014-2016,"73
",0.0,1165349.853835192,0.0,0.0
2014-2016,"82
",0.0,1317995.7468695631,0.0,0.0
2014-2016,"124
",0.0,4560784.116826873,0.0,0.0
2014-2016,"56
",0.0,1115883.7937349607,0.0,0.0
2014-2016,"3
",0.0,2386980.466893669,0.0,0.0
2014-2016,"36
",0.0,2026833.677550809,0.0,0.0
2014-2016,"41
",0.0,309137.5863181313,0.0,0.0
2014-2016,"37
",0.0,509046.5750906554,0.0,0.0
2014-2016,"139
",0.0,4098104.17981173,0.0,0.0
2014-2016,"23
",0.0,233737.26597936297,0.0,0.0
2014-2016,"40
",0.0,639369.8764026387,0.0,0.0
2014-2016,"121
",0.0,2361105.0070258044,0.0,0.0
2014-2016,"33
",0.0,3517538.621785589,0.0,0.01852752475081814
2014-2016,"103
",0.0,1860675.810989739,0.0,0.0
2014-2016,"13
",0.0,1350542.7456204067,0.0,0.0
2014-2016,"66
",0.0,3745924.5669795587,0.0,0.008159473966582311
2014-2016,"123
",0.0,4252648.76260917,0.0,9.072030088361967e-05
2014-2016,"63
",0.0,7869963.74662337,0.0,0.0140552904631784
2014-2016,"21
",0.0,511994.3868129064,0.0,0.05403994684612203
2014-2016,"49
",0.0,445442.5783962791,0.0,0.0
2014-2016,"70
",0.0,1104201.938560579,0.0,0.0
2014-2016,"45
",0.0,3972456.576842636,0.0,0.10984885623132144
2014-2016,"100
",0.0,2885415.5826987023,0.0,7.774020006199678e-07
2014-2016,"92
",0.0,3054882.4375515007,0.0,0.0
2014-2016,"9
",0.0,670890.1781039123,0.0,0.05014428927016748
2014-2016,"114
",0.0,5350986.939592613,0.0,7.126549193429782e-05
2014-2016,"101
",0.0,2147875.347487632,0.0,0.0033239933561659417
2014-2016,"138
",0.0,1289569.3414543634,0.0,0.0
2014-2016,"31
",0.0,2035898.8389397936,0.0,0.0
2014-2016,"104
",0.0,2097632.676705424,0.0,0.0
2014-2016,"5
",0.0,3526152.0749234664,0.0,0.0
2014-2016,"126
",0.0,10257819.075318737,0.0,0.0
2014-2016,"14
",0.0,1502366.912456073,0.0,0.0
2014-2016,"111
",0.0,4717107.140899005,0.0,0.0
2014-2016,"130
",0.0,1438806.7481942913,0.0,0.0
2014-2016,"19
",0.0,410067.86285056453,0.0,0.04049012001618684
2014-2016,"78
",0.0,879522.053433051,0.0,0.0
2014-2016,"27
",0.0,664111.1874848014,0.0,0.0
2014-2016,"98
",0.0,1918961.5295573943,0.0,1.1688646042522901e-06
2014-2016,"6
",0.0,3604801.7559180297,0.0,0.06926911722037626
2014-2016,"2
",0.0,2039163.6429980204,0.0,0.0
2014-2016,"59
",0.0,3099785.171171695,0.0,0.0
2014-2016,"131
",0.0,3993245.7237129337,0.0,0.0
2014-2016,"42
",0.0,562481.2726890763,0.0,0.0
2014-2016,"129
",0.0,3135714.023170629,0.0,0.0
2014-2016,"51
",0.0,523249.1276682834,0.0,0.0
2014-2016,"120
",0.0,1282493.0927259673,0.0,0.0
2014-2016,"8
",0.0,739347.4792665321,0.0,0.025542449691663346
2014-2016,"1
",0.0,2444856.271244865,0.0,0.06504972184747931
2014-2016,"80
",0.0,16704299.766971743,0.0,0.03645328351375299
2014-2016,"55
",0.0,1793824.8391324086,0.0,0.0
2014-2016,"64
",0.0,1484782.1981117094,0.0,0.0
2014-2016,"107
",0.0,5614508.860115704,0.0,0.009874999541097869
2014-2016,"77
",0.0,769464.1320565563,0.0,0.0
2014-2016,"28
",0.0,627019.69921456,0.0,0.0
2014-2016,"112
",0.0,3873737.7040876173,0.0,0.0
2014-2016,"133
",0.0,781567.2372744399,0.0,0.0
2014-2016,"65
",0.0,1950235.0289544123,0.0,0.0
2014-2016,"24
",0.0,332136.9126480409,0.0,0.0
2014-2016,"128
",0.0,3154713.1732450137,0.0,0.0
2014-2016,"50
",0.0,625948.2795659651,0.0,0.0
2014-2016,"113
",0.0,3431440.6133302287,0.0,1.3074407929602733e-06
2014-2016,"94
",0.0,2397985.041156573,0.0,0.00011877851106051072
2014-2016,"79
",0.0,5662610.6891376795,0.0,0.005129081788410374
2014-2016,"11
",0.0,603283.9305612021,0.0,0.0
2014-2016,"15
",0.0,665103.3979086763,0.0,0.0
2014-2016,"140
",0.0,3249501.4812626843,0.0,0.0
2014-2016,"97
",0.0,4632634.270797715,0.0,0.00013205714633602924
2014-2016,"48
",0.0,431639.7348883241,0.0,0.0
2014-2016,"35
",0.0,1910586.6052648053,0.0,0.0
2014-2016,"116
",0.0,2095031.2812368944,0.0,0.0
2014-2016,"95
",0.0,2546017.7965106405,0.0,0.0
2014-2016,"30
",0.0,1102095.8122829592,0.0,0.0
2014-2016,"58
",0.0,26500627.169441443,0.0,0.09672547691443589
2017-2019,"93
",0.0,2970213.066408382,0.0,0.002939703137096739
2017-2019,"61
",0.0,1177262.6061369653,0.0,0.0
2017-2019,"86
",0.0,1826143.9323658661,0.0,0.0
2017-2019,"90
",0.0,2372495.446999153,0.0,0.01753741599322947
2017-2019,"26
",0.0,660670.3145760287,0.0,0.0
2017-2019,"72
",0.0,747892.0507554923,0.0,0.0
2017-2019,"134
",0.0,1064510.272751114,0.0,0.0057854624392443595
2017-2019,"99
",0.0,1276923.549868249,0.0,0.0
2017-2019,"125
",0.0,5206733.257524491,0.0,0.0
2017-2019,"118
",0.0,1507237.777862459,0.0,0.0
2017-2019,"83
",0.0,544975.1993471055,0.0,0.0
2017-2019,"43
",0.0,582723.9726249235,0.0,0.0
2017-2019,"47
",0.0,773309.6461268982,0.0,0.0
2017-2019,"115
",0.0,3395547.13546647,0.0,0.00012748309207616796
2017-2019,"68
",0.0,1191634.4964831404,0.0,0.0
2017-2019,"39
",0.0,330622.3120473235,0.0,0.0
2017-2019,"12
",0.0,886127.5907304909,0.0,0.0
2017-2019,"108
",881727.7389319905,26850767.100481912,0.03283808375501367,0.07876862421167921
2017-2019,"110
",0.0,3852012.5536226295,0.0,0.0016195888378288876
2017-2019,"141
",0.0,5738748.559977362,0.0,0.04897862930183503
2017-2019,"17
",0.0,546329.0230268026,0.0,0.0
2017-2019,"7
",0.0,722060.2145367783,0.0,0.03770961173149267
2017-2019,"16
",0.0,507371.5233247629,0.0,0.0
2017-2019,"137
",0.0,1275140.5489388257,0.0,0.05347226617704299
2017-2019,"84
",0.0,581735.4201153931,0.0,0.0
2017-2019,"18
",0.0,388889.50443115307,0.0,0.0
2017-2019,"25
",0.0,766524.7304502625,0.0,0.0
2017-2019,"60
",0.0,1199864.2799723898,0.0,0.0
2017-2019,"10
",0.0,864802.9517351376,0.0,0.0
2017-2019,"62
",0.0,772547.3091512957,0.0,0.0
2017-2019,"71
",0.0,1576690.2639610732,0.0,0.0001400453327566624
2017-2019,"91
",0.0,1760558.2517068158,0.0,0.0
2017-2019,"75
",0.0,976918.2504185946,0.0,0.0259727619501628
2017-2019,"96
",0.0,2123288.491729435,0.0,0.0
2017-2019,"88
",0.0,623810.4446886824,0.0,0.0
2017-2019,"44
",0.0,1029272.53786032,0.0,0.0
2017-2019,"85
",0.0,1024990.2626369076,0.0,0.0
2017-2019,"89
",0.0,1078895.0488777338,0.0,0.0
2017-2019,"67
",0.0,2581285.2379194563,0.0,0.0
2017-2019,"76
",0.0,734189.0496325076,0.0,0.0
2017-2019,"74
",0.0,6150740.456462756,0.0,0.0003568222093315959
2017-2019,"87
",0.0,897562.4782398291,0.0,0.0009664028979573216
2017-2019,"132
",0.0,3158846.6761043207,0.0,0.0
2017-2019,"69
",0.0,2615193.5644534407,0.0,0.0
2017-2019,"22
",0.0,500848.3886642463,0.0,0.02212873408197096
2017-2019,"119
",0.0,1075576.5634958926,0.0,0.0
2017-2019,"54
",0.0,677237.6929420002,0.0,0.0
2017-2019,"122
",0.0,5043878.428990967,0.0,0.003699429892220381
2017-2019,"29
",0.0,970016.295134335,0.0,0.0
2017-2019,"109
",0.0,11889753.652940217,0.0,0.005797626927038995
2017-2019,"32
",0.0,3435326.8545502163,0.0,0.0005144510619304276
2017-2019,"57
",0.0,10778381.758030416,0.0,0.029558813539640988
2017-2019,"136
",0.0,922382.63201114,0.0,0.0
2017-2019,"106
",0.0,2573165.2082764846,0.0,0.0
2017-2019,"4
",0.0,1399371.782177019,0.0,0.0
2017-2019,"52
",0.0,345096.8747700404,0.0,0.0
2017-2019,"38
",0.0,812731.509212655,0.0,0.0
2017-2019,"81
",0.0,3926124.9701334806,0.0,0.0
2017-2019,"127
",0.0,7924406.46523071,0.0,0.0
2017-2019,"53
",0.0,555450.2848963087,0.0,0.0
2017-2019,"34
",0.0,1203946.7388253536,0.0,0.0
2017-2019,"135
",0.0,731375.1134151398,0.0,0.0023569030206887437
2017-2019,"117
",0.0,1107011.1045015645,0.0,0.0032334531988124316
2017-2019,"105
",0.0,1008700.6210014188,0.0,0.0
2017-2019,"20
",0.0,569919.4144101621,0.0,0.008510052982556545
2017-2019,"102
",0.0,2546552.798951482,0.0,0.0
2017-2019,"46
",0.0,2486671.17801846,0.0,1.941348992025906e-05
2017-2019,"73
",0.0,1165349.853835192,0.0,0.0
2017-2019,"82
",0.0,1317995.7468695631,0.0,0.0
2017-2019,"124
",0.0,4560784.116826873,0.0,8.307498630159352e-08
2017-2019,"56
",0.0,1115883.7937349607,0.0,0.0
2017-2019,"3
",0.0,2386980.466893669,0.0,0.0
2017-2019,"36
",0.0,2026833.677550809,0.0,0.0
2017-2019,"41
",0.0,309137.5863181313,0.0,0.0
2017-2019,"37
",0.0,509046.5750906554,0.0,0.0
2017-2019,"139
",0.0,4098104.17981173,0.0,0.0
2017-2019,"23
",0.0,233737.26597936297,0.0,0.0
2017-2019,"40
",0.0,639369.8764026387,0.0,0.0
2017-2019,"121
",0.0,2361105.0070258044,0.0,0.0
2017-2019,"33
",0.0,3517538.621785589,0.0,0.01284774136983067
2017-2019,"103
",0.0,1860675.810989739,0.0,0.0
2017-2019,"13
",0.0,1350542.7456204067,0.0,0.0
2017-2019,"66
",0.0,3745924.5669795587,0.0,0.00488680859998115
2017-2019,"123
",0.0,4252648.76260917,0.0,0.0012931425552309235
2017-2019,"63
",0.0,7869963.74662337,0.0,0.00801378480361648
2017-2019,"21
",0.0,511994.3868129064,0.0,0.03690706085203836
2017-2019,"49
",0.0,445442.5783962791,0.0,0.0
2017-2019,"70
",0.0,1104201.938560579,0.0,0.0
2017-2019,"45
",0.0,3972456.576842636,0.0,0.07367745264943687
2017-2019,"100
",0.0,2885415.5826987023,0.0,3.06210164215678e-05
2017-2019,"92
",0.0,3054882.4375515007,0.0,0.0
2017-2019,"9
",0.0,670890.1781039123,0.0,0.03384790596871527
2017-2019,"114
",0.0,5350986.939592613,0.0,8.038222420610671e-05
2017-2019,"101
",0.0,2147875.347487632,0.0,0.002190938285803409
2017-2019,"138
",0.0,1289569.3414543634,0.0,0.0
2017-2019,"31
",0.0,2035898.8389397936,0.0,0.0
2017-2019,"104
",0.0,2097632.676705424,0.0,0.0
2017-2019,"5
",0.0,3526152.0749234664,0.0,0.0
2017-2019,"126
",0.0,10257819.075318737,0.0,9.05631068121707e-08
2017-2019,"14
",0.0,1502366.912456073,0.0,0.0
2017-2019,"111
",0.0,4717107.140899005,0.0,0.0
2017-2019,"130
",0.0,1438806.7481942913,0.0,0.0
2017-2019,"19
",0.0,410067.86285056453,0.0,0.027445179819119182
2017-2019,"78
",0.0,879522.053433051,0.0,0.0
2017-2019,"27
",0.0,664111.1874848014,0.0,0.0
2017-2019,"98
",0.0,1918961.5295573943,0.0,9.68150480289776e-06
2017-2019,"6
",0.0,3604801.7559180297,0.0,0.04794093327896354
2017-2019,"2
",0.0,2039163.6429980204,0.0,0.0
2017-2019,"59
",0.0,3099785.171171695,0.0,0.0
2017-2019,"131
",0.0,3993245.7237129337,0.0,0.0
2017-2019,"42
",0.0,562481.2726890763,0.0,0.0
2017-2019,"129
",0.0,3135714.023170629,0.0,1.9549357412621867e-05
2017-2019,"51
",0.0,523249.1276682834,0.0,0.0
2017-2019,"120
",0.0,1282493.0927259673,0.0,0.0
2017-2019,"8
",0.0,739347.4792665321,0.0,0.01733641335954339
2017-2019,"1
",0.0,2444856.271244865,0.0,0.04462979127579748
2017-2019,"80
",0.0,16704299.766971743,0.0,0.024764668791740167
2017-2019,"55
",0.0,1793824.8391324086,0.0,0.0
2017-2019,"64
",0.0,1484782.1981117094,0.0,0.0
2017-2019,"107
",0.0,5614508.860115704,0.0,0.006814351752761846
2017-2019,"77
",0.0,769464.1320565563,0.0,0.0
2017-2019,"28
",0.0,627019.69921456,0.0,0.0
2017-2019,"112
",0.0,3873737.7040876173,0.0,0.0
2017-2019,"133
",0.0,781567.2372744399,0.0,0.0
2017-2019,"65
",0.0,1950235.0289544123,0.0,0.0
2017-2019,"24
",0.0,332136.9126480409,0.0,0.0
2017-2019,"128
",0.0,3154713.1732450137,0.0,2.061050305277564e-06
2017-2019,"50
",0.0,625948.2795659651,0.0,0.0
2017-2019,"113
",0.0,3431440.6133302287,0.0,3.248792273416436e-06
2017-2019,"94
",0.0,2397985.041156573,0.0,7.281832205952566e-05
2017-2019,"79
",0.0,5662610.6891376795,0.0,0.0028136160060477345
2017-2019,"11
",0.0,603283.9305612021,0.0,0.0
2017-2019,"15
",0.0,665103.3979086763,0.0,0.0
2017-2019,"140
",0.0,3249501.4812626843,0.0,1.942979024788429e-05
2017-2019,"97
",0.0,4632634.270797715,0.0,0.00011169078382594544
2017-2019,"48
",0.0,431639.7348883241,0.0,0.0
2017-2019,"35
",0.0,1910586.6052648053,0.0,0.0
2017-2019,"116
",0.0,2095031.2812368944,0.0,0.0
2017-2019,"95
",0.0,2546017.7965106405,0.0,0.0
2017-2019,"30
",0.0,1102095.8122829592,0.0,0.0
